省级,地级,县市,总人口,年轻人口(20-39),高等教育人口,年轻人比例,高等教育人口比例,市总人口,县市人口比例
山西省,朔州市,山阴县,238885,74922,11965,0.313632082,0.050086862,1714857,0.139303161
山西省,朔州市,应县,327973,101003,6713,0.307961326,0.020468148,1714857,0.191253848
山西省,朔州市,右玉县,112063,34843,4923,0.31092332,0.043930646,1714857,0.065348306
山西省,朔州市,怀仁县,326849,101524,15166,0.310614382,0.046400631,1714857,0.1905984
山西省,晋中市,晋中市,3249425,1030063,257726,0.316998546,0.07931434,3249425,1
山西省,晋中市,榆次区,635651,215304,99448,0.338714169,0.156450631,3249425,0.195619533
山西省,晋中市,榆社县,134648,42403,8185,0.314917414,0.060788129,3249425,0.041437485
山西省,晋中市,左权县,161314,51017,8383,0.316258973,0.051966971,3249425,0.04964386
山西省,晋中市,和顺县,144178,48793,8383,0.338421951,0.058143406,3249425,0.044370312
山西省,晋中市,昔阳县,227896,64667,10230,0.283756626,0.044888897,3249425,0.070134255
山西省,晋中市,寿阳县,211014,65046,10723,0.308254429,0.050816534,3249425,0.064938874
山西省,晋中市,太谷县,298783,95905,33623,0.320985464,0.112533176,3249425,0.091949499
山西省,晋中市,祁县,265310,82201,14206,0.30983001,0.05354491,3249425,0.081648292
山西省,晋中市,平遥县,502712,147462,19585,0.293332962,0.038958688,3249425,0.154707987
山西省,晋中市,灵石县,261402,85955,14758,0.328823039,0.056457104,3249425,0.080445617
山西省,晋中市,介休市,406517,131310,30202,0.323012322,0.074294556,3249425,0.125104288
山西省,运城市,运城市,5134779,1617863,289243,0.315079383,0.056330175,5134779,1
山西省,运城市,盐湖区,680036,229496,84274,0.337476251,0.123925792,5134779,0.132437248
山西省,运城市,临猗县,572508,174225,19580,0.304318892,0.034200395,5134779,0.111496133
山西省,运城市,万荣县,439364,134438,15384,0.305983194,0.035014248,5134779,0.085566292
山西省,运城市,闻喜县,404150,127632,17483,0.315803538,0.043258691,5134779,0.078708353
山西省,运城市,稷山县,347425,101286,14348,0.291533424,0.041298122,5134779,0.06766114
山西省,运城市,新绛县,332473,96602,12831,0.290555925,0.038592608,5134779,0.064749233
山西省,运城市,绛县,281643,90599,13174,0.321680283,0.046775528,5134779,0.054850072
山西省,运城市,垣曲县,231018,76027,15278,0.329095568,0.066133375,5134779,0.044990836
山西省,运城市,夏县,352821,113946,11875,0.322956967,0.033657294,5134779,0.068712013
山西省,运城市,平陆县,258241,83521,12709,0.323422694,0.049213719,5134779,0.050292525
山西省,运城市,芮城县,394849,119913,17366,0.303693311,0.04398137,5134779,0.07689698
山西省,运城市,永济市,444724,140636,26465,0.31623209,0.059508819,5134779,0.086610154
山西省,运城市,河津市,395527,129542,28476,0.327517464,0.071995085,5134779,0.077029021
山西省,忻州市,忻州市,3067503,936549,201531,0.305313149,0.065698713,3067503,1
山西省,忻州市,忻府区,544683,161667,66847,0.296809337,0.12272643,3067503,0.177565597
山西省,忻州市,定襄县,217468,62204,10570,0.286037486,0.048604852,3067503,0.070894144
